Feature Name,Description,Data Type,Input Type,Answer Options
category_Lifestyle and environment_ts_Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_2,Why did you reduce the amount you drank?,logical,Select one answer,2 : Doctor's advice
category_Lifestyle and environment_ts_Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_1,Why did you reduce the amount you drank?,logical,Select one answer,1 : Illness or ill health
category_Lifestyle and environment_ts_Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_4,Why did you reduce the amount you drank?,logical,Select one answer,4 : Financial reasons
category_Lifestyle and environment_ts_Reason.former.drinker.stopped.drinking.alcohol...Instance.0_1,Why did you stop drinking alcohol?,logical,Select one answer,1 : Illness or ill health
category_Lifestyle and environment_ts_Reason.former.drinker.stopped.drinking.alcohol...Instance.0_5,Why did you stop drinking alcohol?,logical,Select one answer,5 : Other reason
category_Lifestyle and environment_ts_Reason.former.drinker.stopped.drinking.alcohol...Instance.0_3,Why did you stop drinking alcohol?,logical,Select one answer,3 : Health precaution
category_Lifestyle and environment_ts_Reason.former.drinker.stopped.drinking.alcohol...Instance.0_2,Why did you stop drinking alcohol?,logical,Select one answer,2 : Doctor's advice
category_Lifestyle and environment_ts_Skin.colour...Instance.0_3,What best describes the colour of your skin without tanning?,logical,Select one answer,3 : Light olive
category_Lifestyle and environment_ts_Skin.colour...Instance.0_2,What best describes the colour of your skin without tanning?,logical,Select one answer,2 : Fair
category_Lifestyle and environment_ts_Skin.colour...Instance.0_5,What best describes the colour of your skin without tanning?,logical,Select one answer,5 : Brown
category_Lifestyle and environment_ts_Skin.colour...Instance.0_6,What best describes the colour of your skin without tanning?,logical,Select one answer,6 : Black
category_Lifestyle and environment_ts_Ease.of.skin.tanning...Instance.0_2,What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?,logical,Select one answer,2 : Get moderately tanned
category_Lifestyle and environment_ts_Ease.of.skin.tanning...Instance.0_1,What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?,logical,Select one answer,1 : Get very tanned
category_Lifestyle and environment_ts_Ease.of.skin.tanning...Instance.0_3,What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?,logical,Select one answer,3 : Get mildly or occasionally tanned
category_Lifestyle and environment_ts_Hair.colour..natural..before.greying....Instance.0_4,"What best describes your natural hair colour?
(If your hair colour is grey, the colour before you went grey)",logical,Select one answer,4 : Dark brown
category_Lifestyle and environment_ts_Hair.colour..natural..before.greying....Instance.0_5,"What best describes your natural hair colour?
(If your hair colour is grey, the colour before you went grey)",logical,Select one answer,5 : Black
category_Lifestyle and environment_ts_Hair.colour..natural..before.greying....Instance.0_6,"What best describes your natural hair colour?
(If your hair colour is grey, the colour before you went grey)",logical,Select one answer,6 : Other
category_Lifestyle and environment_ts_Facial.ageing...Instance.0_1,Do people say that you look:,logical,Select one answer,1 : Younger than you are
category_Lifestyle and environment_ts_Facial.ageing...Instance.0_2,Do people say that you look:,logical,Select one answer,2 : Older than you are
category_Lifestyle and environment_ts_Facial.ageing...Instance.0_3,Do people say that you look:,logical,Select one answer,3 : About your age
category_Lifestyle and environment_ts_Use.of.sun.uv.protection...Instance.0_3,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",logical,Select one answer,3 : Most of the time
category_Lifestyle and environment_ts_Use.of.sun.uv.protection...Instance.0_4,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",logical,Select one answer,4 : Always
category_Lifestyle and environment_ts_Use.of.sun.uv.protection...Instance.0_2,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",logical,Select one answer,2 : Sometimes
category_Lifestyle and environment_ts_Use.of.sun.uv.protection...Instance.0_1,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",logical,Select one answer,1 : Never/rarely
category_Lifestyle and environment_ts_Use.of.sun.uv.protection...Instance.0_5,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",logical,Select one answer,5 : Do not go out in sunshine
category_Lifestyle and environment_ts_Answered.sexual.history.questions...Instance.0_1,"The next section contains questions about your sexual history.
If you feel that a question is too sensitive,
you can skip the question or skip the entire section if you prefer.",logical,Select one answer,1 : Continue
category_Lifestyle and environment_ts_Answered.sexual.history.questions...Instance.0_2,"The next section contains questions about your sexual history.
If you feel that a question is too sensitive,
you can skip the question or skip the entire section if you prefer.",logical,Select one answer,2 : Skip this section
category_Lifestyle and environment_ts_Age.first.had.sexual.intercourse...Instance.0_Lower.third,"What was your age when you first had sexual intercourse?
(Sexual intercourse includes vaginal, oral or anal intercourse)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Age.first.had.sexual.intercourse...Instance.0_Middle.third,"What was your age when you first had sexual intercourse?
(Sexual intercourse includes vaginal, oral or anal intercourse)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Lifetime.number.of.sexual.partners...Instance.0_Lower.third,About how many sexual partners have you had in your lifetime?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Lifetime.number.of.sexual.partners...Instance.0_Upper.third,About how many sexual partners have you had in your lifetime?,logical,Enter integer answer,
category_Early life factors_ts_Comparative.body.size.at.age.10...Instance.0_3,"When you were 10 years old, compared to average would you describe yourself as:",logical,Select one answer,3 : About average
category_Early life factors_ts_Comparative.body.size.at.age.10...Instance.0_1,"When you were 10 years old, compared to average would you describe yourself as:",logical,Select one answer,1 : Thinner
category_Early life factors_ts_Comparative.height.size.at.age.10...Instance.0_2,"When you were 10 years old, compared to average would you describe yourself as:",logical,Select one answer,2 : Taller
category_Early life factors_ts_Handedness..chirality.laterality....Instance.0_3,Are you right or left handed?,logical,Select one answer,3 : Use both right and left hands equally
category_Early life factors_ts_Part.of.a.multiple.birth...Instance.0_0,"Are you a twin, triplet or other multiple birth?",logical,Select one answer,0 : No
category_Early life factors_ts_Part.of.a.multiple.birth...Instance.0_1,"Are you a twin, triplet or other multiple birth?",logical,Select one answer,1 : Yes
category_Early life factors_ts_Maternal.smoking.around.birth...Instance.0_1,Did your mother smoke regularly around the time when you were born?,logical,Select one answer,1 : Yes
category_Family history_ts_Father.still.alive...Instance.0_0,Is your father still alive?,logical,Select one answer,0 : No
category_Family history_ts_Adopted.father.still.alive...Instance.0_0,Is your ADOPTED father still alive?,logical,Select one answer,0 : No
category_Family history_ts_Father.s.age...Instance.0_Upper.third,What is his age now?,logical,Enter integer answer,
category_Family history_ts_Father.s.age...Instance.0_Middle.third,What is his age now?,logical,Enter integer answer,
category_Family history_ts_Father.s.age.at.death...Instance.0_Upper.third,What was his age when he died?,logical,Enter integer answer,
category_Family history_ts_Father.s.age.at.death...Instance.0_Middle.third,What was his age when he died?,logical,Enter integer answer,
category_Family history_ts_Mother.still.alive...Instance.0_0,Is your mother still alive?,logical,Select one answer,0 : No
category_Family history_ts_Adopted.mother.still.alive...Instance.0_0,Is your ADOPTED mother still alive?,logical,Select one answer,0 : No
category_Family history_ts_Mother.s.age...Instance.0_Lower.third,What is her age now?,logical,Enter integer answer,
category_Family history_ts_Mother.s.age...Instance.0_Upper.third,What is her age now?,logical,Enter integer answer,
category_Family history_ts_Mother.s.age...Instance.0_Middle.third,What is her age now?,logical,Enter integer answer,
category_Family history_ts_Mother.s.age.at.death...Instance.0_Middle.third,What was her age when she died?,logical,Enter integer answer,
category_Family history_ts_Number.of.full.brothers...Instance.0_Upper.third,"How many brothers do you have? (Please include those who have died, and twin brothers. Do not include half- brothers, step-brothers or
adopted brothers)",logical,Enter integer answer,
category_Family history_ts_Number.of.full.brothers...Instance.0_Middle.third,"How many brothers do you have? (Please include those who have died, and twin brothers. Do not include half- brothers, step-brothers or
adopted brothers)",logical,Enter integer answer,
category_Family history_ts_Number.of.full.sisters...Instance.0_Upper.third,"How many sisters do you have?
(Please include those who have died, and twin sisters. Do not include half-sisters, step-sisters or adopted sisters)",logical,Enter integer answer,
category_Family history_ts_Number.of.full.sisters...Instance.0_Middle.third,"How many sisters do you have?
(Please include those who have died, and twin sisters. Do not include half-sisters, step-sisters or adopted sisters)",logical,Enter integer answer,
category_Family history_ts_Illnesses.of.adopted.mother...Instance.0_2,"Has/did your ADOPTED mother ever suffer from?
(You can select more than one answer)",logical,Toggle multiple answer,2 : Stroke
category_Family history_ts_Illnesses.of.father...Instance.0_9,Has/did your father ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,9 : Diabetes
category_Family history_ts_Illnesses.of.father...Instance.0_1,Has/did your father ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,1 : Heart disease
category_Family history_ts_Illnesses.of.father...Instance.0_neg27,Has/did your father ever suffer from? (You can select more than one answer),logical,Select one answer,-27 : None of the above
category_Family history_ts_Illnesses.of.father...Instance.0_3,Has/did your father ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,3 : Lung cancer
category_Family history_ts_Illnesses.of.father...Instance.0_neg17,Has/did your father ever suffer from? (You can select more than one answer),logical,Select one answer,-17 : None of the above
category_Family history_ts_Illnesses.of.father...Instance.0_8,Has/did your father ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,8 : High blood pressure
category_Family history_ts_Illnesses.of.father...Instance.0_2,Has/did your father ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,2 : Stroke
category_Family history_ts_Illnesses.of.father...Instance.0_6,Has/did your father ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,6 : Chronic bronchitis/emphysema
category_Family history_ts_Illnesses.of.father...Instance.0_13,Has/did your father ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,13 : Prostate cancer
category_Family history_ts_Illnesses.of.father...Instance.0_10,Has/did your father ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,10 : Alzheimer's disease/dementia
category_Family history_ts_Illnesses.of.father...Instance.0_11,Has/did your father ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,11 : Parkinson's disease
category_Family history_ts_Illnesses.of.mother...Instance.0_neg17,Has/did your mother ever suffer from? (You can select more than one answer),logical,Select one answer,-17 : None of the above
category_Family history_ts_Illnesses.of.mother...Instance.0_10,Has/did your mother ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,10 : Alzheimer's disease/dementia
category_Family history_ts_Illnesses.of.mother...Instance.0_neg27,Has/did your mother ever suffer from? (You can select more than one answer),logical,Select one answer,-27 : None of the above
category_Family history_ts_Illnesses.of.mother...Instance.0_9,Has/did your mother ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,9 : Diabetes
category_Family history_ts_Illnesses.of.mother...Instance.0_5,Has/did your mother ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,5 : Breast cancer
category_Family history_ts_Illnesses.of.mother...Instance.0_8,Has/did your mother ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,8 : High blood pressure
category_Family history_ts_Illnesses.of.mother...Instance.0_1,Has/did your mother ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,1 : Heart disease
category_Family history_ts_Illnesses.of.mother...Instance.0_3,Has/did your mother ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,3 : Lung cancer
category_Family history_ts_Illnesses.of.mother...Instance.0_6,Has/did your mother ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,6 : Chronic bronchitis/emphysema
category_Family history_ts_Illnesses.of.mother...Instance.0_2,Has/did your mother ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,2 : Stroke
category_Family history_ts_Illnesses.of.mother...Instance.0_4,Has/did your mother ever suffer from? (You can select more than one answer),logical,Toggle multiple answer,4 : Bowel cancer
category_Family history_ts_Illnesses.of.siblings...Instance.0_9,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,9 : Diabetes
category_Family history_ts_Illnesses.of.siblings...Instance.0_neg27,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Select one answer,-27 : None of the above
category_Family history_ts_Illnesses.of.siblings...Instance.0_neg17,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Select one answer,-17 : None of the above
category_Family history_ts_Illnesses.of.siblings...Instance.0_8,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,8 : High blood pressure
category_Family history_ts_Illnesses.of.siblings...Instance.0_4,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,4 : Bowel cancer
category_Family history_ts_Illnesses.of.siblings...Instance.0_1,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,1 : Heart disease
category_Family history_ts_Illnesses.of.siblings...Instance.0_3,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,3 : Lung cancer
category_Family history_ts_Illnesses.of.siblings...Instance.0_5,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,5 : Breast cancer
category_Family history_ts_Illnesses.of.siblings...Instance.0_2,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,2 : Stroke
category_Family history_ts_Illnesses.of.siblings...Instance.0_6,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,6 : Chronic bronchitis/emphysema
category_Family history_ts_Illnesses.of.siblings...Instance.0_10,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,10 : Alzheimer's disease/dementia
category_Family history_ts_Illnesses.of.siblings...Instance.0_13,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,13 : Prostate cancer
category_Family history_ts_Illnesses.of.siblings...Instance.0_11,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",logical,Toggle multiple answer,11 : Parkinson's disease
category_Psychosocial factors_ts_Frequency.of.friend.family.visits...Instance.0_3,How often do you visit friends or family or have them visit you?,logical,Select one answer,3 : About once a week
category_Psychosocial factors_ts_Frequency.of.friend.family.visits...Instance.0_2,How often do you visit friends or family or have them visit you?,logical,Select one answer,2 : 2-4 times a week
category_Psychosocial factors_ts_Frequency.of.friend.family.visits...Instance.0_4,How often do you visit friends or family or have them visit you?,logical,Select one answer,4 : About once a month
category_Psychosocial factors_ts_Frequency.of.friend.family.visits...Instance.0_1,How often do you visit friends or family or have them visit you?,logical,Select one answer,1 : Almost daily
category_Psychosocial factors_ts_Frequency.of.friend.family.visits...Instance.0_7,How often do you visit friends or family or have them visit you?,logical,Select one answer,7 : No friends/family outside household
category_Psychosocial factors_ts_Frequency.of.friend.family.visits...Instance.0_6,How often do you visit friends or family or have them visit you?,logical,Select one answer,6 : Never or almost never
category_Psychosocial factors_ts_Leisure.social.activities...Instance.0_1,"Which of the following do you attend once a week or more often?
(You can select more than one)",logical,Toggle multiple answer,1 : Sports club or gym
category_Psychosocial factors_ts_Leisure.social.activities...Instance.0_4,"Which of the following do you attend once a week or more often?
(You can select more than one)",logical,Toggle multiple answer,4 : Adult education class
category_Psychosocial factors_ts_Leisure.social.activities...Instance.0_neg7,"Which of the following do you attend once a week or more often?
(You can select more than one)",logical,Select one answer,-7 : None of the above
category_Psychosocial factors_ts_Leisure.social.activities...Instance.0_2,"Which of the following do you attend once a week or more often?
(You can select more than one)",logical,Toggle multiple answer,2 : Pub or social club
category_Psychosocial factors_ts_Able.to.confide...Instance.0_5,How often are you able to confide in someone close to you?,logical,Select one answer,5 : Almost daily
category_Psychosocial factors_ts_Able.to.confide...Instance.0_0,How often are you able to confide in someone close to you?,logical,Select one answer,0 : Never or almost never
category_Psychosocial factors_ts_Able.to.confide...Instance.0_3,How often are you able to confide in someone close to you?,logical,Select one answer,3 : About once a week
category_Psychosocial factors_ts_Able.to.confide...Instance.0_4,How often are you able to confide in someone close to you?,logical,Select one answer,4 : 2-4 times a week
category_Psychosocial factors_ts_Able.to.confide...Instance.0_2,How often are you able to confide in someone close to you?,logical,Select one answer,2 : About once a month
category_Psychosocial factors_ts_Mood.swings...Instance.0_0,Does your mood often go up and down?,logical,Select one answer,0 : No
category_Psychosocial factors_ts_Mood.swings...Instance.0_1,Does your mood often go up and down?,logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Irritability...Instance.0_0,Are you an irritable person?,logical,Select one answer,0 : No
category_Psychosocial factors_ts_Irritability...Instance.0_1,Are you an irritable person?,logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Fed.up.feelings...Instance.0_0,Do you often feel 'fed-up'?,logical,Select one answer,0 : No
category_Psychosocial factors_ts_Fed.up.feelings...Instance.0_1,Do you often feel 'fed-up'?,logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Tense....highly.strung....Instance.0_0,Would you call yourself tense or 'highly strung'?,logical,Select one answer,0 : No
category_Psychosocial factors_ts_Tense....highly.strung....Instance.0_1,Would you call yourself tense or 'highly strung'?,logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Worry.too.long.after.embarrassment...Instance.0_1,Do you worry too long after an embarrassing experience?,logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Worry.too.long.after.embarrassment...Instance.0_0,Do you worry too long after an embarrassing experience?,logical,Select one answer,0 : No
category_Psychosocial factors_ts_Suffer.from..nerves....Instance.0_1,Do you suffer from 'nerves'?,logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Suffer.from..nerves....Instance.0_0,Do you suffer from 'nerves'?,logical,Select one answer,0 : No
category_Psychosocial factors_ts_Loneliness..isolation...Instance.0_1,Do you often feel lonely?,logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Loneliness..isolation...Instance.0_0,Do you often feel lonely?,logical,Select one answer,0 : No
category_Psychosocial factors_ts_Risk.taking...Instance.0_0,Would you describe yourself as someone who takes risks?,logical,Select one answer,0 : No
category_Psychosocial factors_ts_Risk.taking...Instance.0_1,Would you describe yourself as someone who takes risks?,logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Frequency.of.depressed.mood.in.last.2.weeks...Instance.0_1,"Over the past two weeks, how often have you felt down, depressed or hopeless?",logical,Select one answer,1 : Not at all
category_Psychosocial factors_ts_Frequency.of.depressed.mood.in.last.2.weeks...Instance.0_3,"Over the past two weeks, how often have you felt down, depressed or hopeless?",logical,Select one answer,3 : More than half the days
category_Psychosocial factors_ts_Frequency.of.unenthusiasm...disinterest.in.last.2.weeks...Instance.0_1,"Over the past two weeks, how often have you had little interest or pleasure in doing things?",logical,Select one answer,1 : Not at all
category_Psychosocial factors_ts_Frequency.of.unenthusiasm...disinterest.in.last.2.weeks...Instance.0_3,"Over the past two weeks, how often have you had little interest or pleasure in doing things?",logical,Select one answer,3 : More than half the days
category_Psychosocial factors_ts_Frequency.of.unenthusiasm...disinterest.in.last.2.weeks...Instance.0_2,"Over the past two weeks, how often have you had little interest or pleasure in doing things?",logical,Select one answer,2 : Several days
category_Psychosocial factors_ts_Frequency.of.unenthusiasm...disinterest.in.last.2.weeks...Instance.0_4,"Over the past two weeks, how often have you had little interest or pleasure in doing things?",logical,Select one answer,4 : Nearly every day
category_Psychosocial factors_ts_Frequency.of.tenseness...restlessness.in.last.2.weeks...Instance.0_1,"Over the past two weeks, how often have you felt tense, fidgety or restless?",logical,Select one answer,1 : Not at all
category_Psychosocial factors_ts_Frequency.of.tenseness...restlessness.in.last.2.weeks...Instance.0_4,"Over the past two weeks, how often have you felt tense, fidgety or restless?",logical,Select one answer,4 : Nearly every day
category_Psychosocial factors_ts_Frequency.of.tenseness...restlessness.in.last.2.weeks...Instance.0_3,"Over the past two weeks, how often have you felt tense, fidgety or restless?",logical,Select one answer,3 : More than half the days
category_Psychosocial factors_ts_Frequency.of.tiredness...lethargy.in.last.2.weeks...Instance.0_1,"Over the past two weeks, how often have you felt tired or had little energy?",logical,Select one answer,1 : Not at all
category_Psychosocial factors_ts_Frequency.of.tiredness...lethargy.in.last.2.weeks...Instance.0_4,"Over the past two weeks, how often have you felt tired or had little energy?",logical,Select one answer,4 : Nearly every day
category_Psychosocial factors_ts_Frequency.of.tiredness...lethargy.in.last.2.weeks...Instance.0_3,"Over the past two weeks, how often have you felt tired or had little energy?",logical,Select one answer,3 : More than half the days
category_Psychosocial factors_ts_Seen.doctor..GP..for.nerves..anxiety..tension.or.depression...Instance.0_0,"Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?",logical,Select one answer,0 : No
category_Psychosocial factors_ts_Seen.doctor..GP..for.nerves..anxiety..tension.or.depression...Instance.0_1,"Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?",logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Seen.a.psychiatrist.for.nerves..anxiety..tension.or.depression...Instance.0_0,"Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?",logical,Select one answer,0 : No
category_Psychosocial factors_ts_Seen.a.psychiatrist.for.nerves..anxiety..tension.or.depression...Instance.0_1,"Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?",logical,Select one answer,1 : Yes
category_Psychosocial factors_ts_Illness..injury..bereavement..stress.in.last.2.years...Instance.0_6,"In the last 2 years have you experienced any of the following?
(You can select more than one answer)",logical,Toggle multiple answer,6 : Financial difficulties
category_Psychosocial factors_ts_Illness..injury..bereavement..stress.in.last.2.years...Instance.0_neg7,"In the last 2 years have you experienced any of the following?
(You can select more than one answer)",logical,Select one answer,-7 : None of the above
category_Psychosocial factors_ts_Illness..injury..bereavement..stress.in.last.2.years...Instance.0_1,"In the last 2 years have you experienced any of the following?
(You can select more than one answer)",logical,Toggle multiple answer,"1 : Serious illness, injury or assault to yourself"
category_Psychosocial factors_ts_Illness..injury..bereavement..stress.in.last.2.years...Instance.0_2,"In the last 2 years have you experienced any of the following?
(You can select more than one answer)",logical,Toggle multiple answer,"2 : Serious illness, injury or assault of a close relative"
category_Psychosocial factors_ts_Illness..injury..bereavement..stress.in.last.2.years...Instance.0_5,"In the last 2 years have you experienced any of the following?
(You can select more than one answer)",logical,Toggle multiple answer,5 : Marital separation/divorce
category_Psychosocial factors_ts_Illness..injury..bereavement..stress.in.last.2.years...Instance.0_4,"In the last 2 years have you experienced any of the following?
(You can select more than one answer)",logical,Toggle multiple answer,4 : Death of a spouse or partner
category_Health and medical history_ts_Wears.glasses.or.contact.lenses...Instance.0_1,Do you wear glasses or contact lenses to correct your vision?,logical,Select one answer,1 : Yes
category_Health and medical history_ts_Wears.glasses.or.contact.lenses...Instance.0_0,Do you wear glasses or contact lenses to correct your vision?,logical,Select one answer,0 : No
category_Health and medical history_ts_Age.started.wearing.glasses.or.contact.lenses...Instance.0_Lower.third,What age did you first start to wear glasses or contact lenses?,logical,Enter integer answer,
category_Health and medical history_ts_Age.started.wearing.glasses.or.contact.lenses...Instance.0_Upper.third,What age did you first start to wear glasses or contact lenses?,logical,Enter integer answer,
category_Health and medical history_ts_Mouth.teeth.dental.problems...Instance.0_3,Do you have any of the following? (You can select more than one answer),logical,Toggle multiple answer,3 : Bleeding gums
category_Health and medical history_ts_Mouth.teeth.dental.problems...Instance.0_4,Do you have any of the following? (You can select more than one answer),logical,Toggle multiple answer,4 : Loose teeth
category_Health and medical history_ts_Mouth.teeth.dental.problems...Instance.0_neg7,Do you have any of the following? (You can select more than one answer),logical,Select one answer,-7 : None of the above
category_Health and medical history_ts_Mouth.teeth.dental.problems...Instance.0_6,Do you have any of the following? (You can select more than one answer),logical,Toggle multiple answer,6 : Dentures
category_Health and medical history_ts_Mouth.teeth.dental.problems...Instance.0_5,Do you have any of the following? (You can select more than one answer),logical,Toggle multiple answer,5 : Toothache
category_Health and medical history_ts_Mouth.teeth.dental.problems...Instance.0_2,Do you have any of the following? (You can select more than one answer),logical,Toggle multiple answer,2 : Painful gums
category_Health and medical history_ts_Overall.health.rating...Instance.0_2,In general how would you rate your overall health?,logical,Select one answer,2 : Good
category_Health and medical history_ts_Overall.health.rating...Instance.0_1,In general how would you rate your overall health?,logical,Select one answer,1 : Excellent
category_Health and medical history_ts_Overall.health.rating...Instance.0_3,In general how would you rate your overall health?,logical,Select one answer,3 : Fair
category_Health and medical history_ts_Overall.health.rating...Instance.0_4,In general how would you rate your overall health?,logical,Select one answer,4 : Poor
category_Health and medical history_ts_Long.standing.illness..disability.or.infirmity...Instance.0_0,"Do you have any long-standing illness, disability or
infirmity?",logical,Select one answer,0 : No
category_Health and medical history_ts_Long.standing.illness..disability.or.infirmity...Instance.0_1,"Do you have any long-standing illness, disability or
infirmity?",logical,Select one answer,1 : Yes
category_Health and medical history_ts_Falls.in.the.last.year...Instance.0_2,In the last year have you had any falls?,logical,Select one answer,2 : Only one fall
category_Health and medical history_ts_Falls.in.the.last.year...Instance.0_1,In the last year have you had any falls?,logical,Select one answer,1 : No falls
category_Health and medical history_ts_Falls.in.the.last.year...Instance.0_3,In the last year have you had any falls?,logical,Select one answer,3 : More than one fall
category_Health and medical history_ts_Weight.change.compared.with.1.year.ago...Instance.0_0,"Compared with one year ago, has your weight changed?",logical,Select one answer,0 : No - weigh about the same
category_Health and medical history_ts_Weight.change.compared.with.1.year.ago...Instance.0_3,"Compared with one year ago, has your weight changed?",logical,Select one answer,3 : Yes - lost weight
category_Health and medical history_ts_Wheeze.or.whistling.in.the.chest.in.last.year...Instance.0_0,In the last year have you ever had wheeze or whistling in the chest?,logical,Select one answer,0 : No
category_Health and medical history_ts_Wheeze.or.whistling.in.the.chest.in.last.year...Instance.0_1,In the last year have you ever had wheeze or whistling in the chest?,logical,Select one answer,1 : Yes
category_Health and medical history_ts_Pain.type.s..experienced.in.last.month...Instance.0_7,"In the last month have you experienced any of the following that interfered with your usual activities?
(You can select more than one answer)",logical,Toggle multiple answer,7 : Knee pain
category_Health and medical history_ts_Pain.type.s..experienced.in.last.month...Instance.0_1,"In the last month have you experienced any of the following that interfered with your usual activities?
(You can select more than one answer)",logical,Toggle multiple answer,1 : Headache
category_Health and medical history_ts_Pain.type.s..experienced.in.last.month...Instance.0_4,"In the last month have you experienced any of the following that interfered with your usual activities?
(You can select more than one answer)",logical,Toggle multiple answer,4 : Back pain
category_Health and medical history_ts_Pain.type.s..experienced.in.last.month...Instance.0_3,"In the last month have you experienced any of the following that interfered with your usual activities?
(You can select more than one answer)",logical,Toggle multiple answer,3 : Neck or shoulder pain
category_Health and medical history_ts_Pain.type.s..experienced.in.last.month...Instance.0_neg7,"In the last month have you experienced any of the following that interfered with your usual activities?
(You can select more than one answer)",logical,Select one answer,-7 : None of the above
category_Health and medical history_ts_Pain.type.s..experienced.in.last.month...Instance.0_6,"In the last month have you experienced any of the following that interfered with your usual activities?
(You can select more than one answer)",logical,Toggle multiple answer,6 : Hip pain
category_Health and medical history_ts_Pain.type.s..experienced.in.last.month...Instance.0_5,"In the last month have you experienced any of the following that interfered with your usual activities?
(You can select more than one answer)",logical,Toggle multiple answer,5 : Stomach or abdominal pain
category_Health and medical history_ts_Pain.type.s..experienced.in.last.month...Instance.0_8,"In the last month have you experienced any of the following that interfered with your usual activities?
(You can select more than one answer)",logical,Toggle multiple answer,8 : Pain all over the body
category_Health and medical history_ts_Headaches.for.3..months...Instance.0_0,Have you had headaches for more than 3 months?,logical,Select one answer,0 : No
category_Health and medical history_ts_Facial.pains.for.3..months...Instance.0_1,Have you had facial pains for more than 3 months?,logical,Select one answer,1 : Yes
category_Health and medical history_ts_Neck.shoulder.pain.for.3..months...Instance.0_1,Have you had neck or shoulder pains for more than 3 months?,logical,Select one answer,1 : Yes
category_Health and medical history_ts_Back.pain.for.3..months...Instance.0_1,Have you had back pains for more than 3 months?,logical,Select one answer,1 : Yes
category_Health and medical history_ts_Stomach.abdominal.pain.for.3..months...Instance.0_1,Have you had stomach or abdominal pains for more than 3 months?,logical,Select one answer,1 : Yes
